"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\AddItemController.java", "Java", 9, 0, 0, 1, 10
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\DBList.java", "Java", 12, 0, 0, -1, 11
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\InventoryController.java", "Java", 120, 0, 1, 1, 122
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\Item.java", "Java", 13, 0, 0, 4, 17
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\dashboard.fxml", "XML", 0, 1, 0, 0, 1
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\inventory.fxml", "XML", 0, 1, 0, 0, 1
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\AddItemController.class", "Java", 9, 0, 0, 0, 9
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\DBList.class", "Java", 1, 0, 0, 0, 1
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\InventoryController.class", "Java", 11, 0, 0, -7, 4
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\Item.class", "Java", 2, 0, 0, 0, 2
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\dashboard.fxml", "XML", 0, 1, 0, 0, 1
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\inventory.fxml", "XML", 0, 1, 0, 0, 1
"Total", "-", 177, 4, 1, -2, 180